LocationID,Office,Telephone,Street,State,Zip,Company,City
1000HAT,Hattiesburg,702.876.3990,7055 Lindell Road,MS,39402,Brady,Hattiesburg
1200LAU,Laurel,775.398.4620,"150 E. Greg Street, Suite 106",MS,39440,Brady,Laurel
1100GUL,Gulfport,858.566.6700,9292 Activity Road,MS,39987,Brady,Gulport
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,

1508TES,Laurel,601.651.5255,32 Bee Street,MS,39440,Laurel,Brady
6450LAB,Soso,601.651.4334,416 Davis Lane,MS,39480,Soso,Brady
