Job_Title,Security_Group_1,Security_Group_2,Security_Group_3,Security_Group_4,Security_Group_5,Security_Group_6,Security_Group_7,Security_Group_8,Security_Group_9
Accounting Specialist,app_fuze,app_office365,benefits_bradyuhc,dpt_accountsreceivable,p21_users,,,,
Accounts Payable Manager,app_fuze,app_jpm_sua,app_office365,app_regalpayusers,dpt_accountspayable,p21_users,,,
Accounts Payable Specialist,app_fuze,app_office365,dpt_accountspayable,p21_users,,benefits_bradyuhc,,,
Accounts Payable Specialist II,app_fuze,app_office365,benefits_bradyuhc,dpt_accountspayable,p21_users,,,,
Accounts Receivable Collections Specialist,app_fuze,app_office365,benefits_bradyuhc,dpt_accountsreceivable,p21_users,,,,
AR Collections Manager,app_fuze,app_office365,benefits_bradyuhc,dpt_accounting_mgmt,dpt_accountsreceivable,p21_users,,,
Branch Manager,app_fuze,app_office365,dpt_operations,p21_users,,,,,
Business Development Manager,app_fuze,app_office365,app_office365,benefits_bradyuhc,dpt_contracts,p21_users,,,
Buyer,app_fuze,app_office365,benefits_bradyuhc,bins_soiaccess,dpt_contracts,dpt_purchasing,p21_users,,
Chemical Specialist,app_fuze,app_office365,benefits_bradyuhc,dpt_service,p21_users,,,,
Contracts Administrator,app_fuze,app_office365,benefits_bradyuhc,dpt_contracts,p21_users,,,,
Controller,app_fuze,app_concurexpenses,app_office365,dpt_accounting_mgmt,p21_users,,,,
Credit Manager,app_fuze,app_office365,benefits_bradyuhc,dpt_accountsreceivable,p21_users,,,,
Customer Service Manager,app_fuze,app_office365,benefits_bradyuhc,DPT_BranchManagers,dpt_customerservice,p21_users,,,
Customer Service Representative,app_fuze,app_office365,benefits_bradyuhc,dpt_customerservice,p21_users,,,,
Customer Service Supervisor,app_fuze,app_office365,benefits_bradyuhc,dpt_customerservice,p21_users,,,,
Dispenser Installer,app_fuze,app_office365,benefits_bradyuhc,dpt_service,p21_users,,,,
Dispenser Technician,app_fuze,app_office365,benefits_bradyuhc,dpt_service,p21_users,,,,
Division Manager,app_concurexpenses,app_fuze,app_office365,benefits_bradyuhc,dpt_sales,dpt_sales_management,p21_users,,
"Division Manager, Equipment",app_concurexpenses,app_fuze,app_office365,benefits_bradyuhc,dpt_sales,p21_users,,,
"Division Manager, Nat Accounts, Health Care",app_concurexpenses,app_fuze,app_office365,benefits_bradyuhc,dpt_sales,dpt_sales_management,p21_users,,
Divisional Manager Education,app_concurexpenses,app_fuze,app_office365,benefits_bradyuhc,p21_users,dpt_sales,,,
"Divisional Manager, Laundry Warewash Corporate",app_concurexpenses,app_fuze,app_office365,benefits_bradyuhc,dpt_sales,dpt_service,p21_users,,
Driver,app_office365_f3,benefits_bradyuhc,dpt_warehouse,p21_users,,,,,
Driver-CDL,app_office365_f3,benefits_bradyuhc,p21_users,dpt_warehouse,,,,,
Equipment Specialist,app_fuze,app_office365,benefits_bradyuhc,dpt_sales,p21_users,,,,
General Manager,app_concurexpenses,app_fuze,benefits_bradyuhc,DPT_BranchManagers,dpt_sales,dpt_sales_management,p21_users,,
HR Payroll Specialist,app_fuze,app_office365,benefits_bradyuhc,dpt_humanresources,dpt_operations,p21_users,,,
Inventory Specialist,app_fuze,app_office365,p21_users,,,,,,
Item Maintenance Coordinator,app_fuze,app_office365,benefits_bradyuhc,bins_soiaccess,dpt_purchasing,p21_users,,,
Jr. Sales Analyst,app_fuze,app_office365,benefits_bradyuhc,dpt_contracts,dpt_purchasing,p21_users,,,
Laundry Warewash Manager,app_fuze,app_concurexpenses,app_office365,benefits_bradyuhc,dpt_service,p21_users,,,
Marketing Coordinator,app_fuze,app_office365,benefits_bradyuhc,dpt_marketing,dpt_sales,p21_users,,,
Office Manager,app_fuze,app_office365,benefits_bradyuhc,dpt_operations,p21_users,,,,
Operations Manager,app_fuze,app_office365,benefits_bradyuhc,dpt_operations,p21_users,,,,
Parts Buyer,app_fuze,app_office365,benefits_bradyuhc,dpt_service,p21_users,,,,
Pricing Analyst,app_concurexpenses,app_fuze,app_office365,benefits_bradyuhc,dpt_contracts,p21_users,,,
Procurement Manager,app_fuze,app_office365,benefits_bradyuhc,bins_soiaccess,dpt_purchasing,dpt_purchasing_Mgmt,p21_users,,
ProDesk,app_fuze,app_office365,benefits_bradyuhc,dpt_customerservice,p21_users,,,,
Product Data Specialist,app_fuze,app_office365,benefits_bradyuhc,dpt_marketing,dpt_sales,p21_users,,,
Purchasing Manager,app_fuze,app_office365,benefits_bradyuhc,dpt_purchasing,dpt_purchasing_mgmt,p21_users,,,
Regional General Manager,app_concurexpenses,app_fuze,app_office365,benefits_bradyuhc,DPT_BranchManagers,dpt_sales_management,dpt_sales,,
Regional Manager,app_concurexpenses,app_fuze,app_office365,benefits_bradyuhc,DPT_BranchManagers,dpt_sales_management,p21_users,,
Sales Manager,app_concurexpenses,app_fuze,app_office365,benefits_bradyuhc,dpt_sales,dpt_sales_management,p21_users,,
Sales Representative,app_fuze,app_office365,benefits_bradyuhc,dpt_sales,p21_users,,,,
Sales Support Manager,app_fuze,app_office365,benefits_bradyuhc,dpt_customerservice,dpt_sales,p21_users,,,
Sales Support Representative,app_fuze,app_office365,benefits_bradyuhc,dpt_customerservice,p21_users,,,,
Senior Accountant,app_fuze,app_office365,app_regalpayusers,benefits_bradyuhc,dpt_accounting_mgmt,dpt_generalledger,dpt_sales,,
Senior Buyer,app_fuze,app_office365,benefits_bradyuhc,bins_soiaccess,dpt_purchasing,dpt_purchasing_mgmt,p21_users,,
Senior Tech,app_fuze,app_office365,benefits_bradyuhc,dpt_service,p21_users,,,,
Service Coordinator,app_fuze,app_office365,benefits_bradyuhc,dpt_service,p21_users,,,,
Service Manager,app_fuze,app_office365,benefits_bradyuhc,dpt_service,p21_users,,,,
"Service Manager Laundry & Warewash, Service",app_fuze,app_office365,benefits_bradyuhc,dpt_service,,,,,
Service Technician,app_fuze,app_office365,benefits_bradyuhc,dpt_service,p21_users,,,,
Systems Engineer,app_fuze,app_office365,benefits_bradyuhc,dpt_it_support,dpt_technology,,,,
Warehouse,app_office365_f3,benefits_bradyuhc,dpt_warehouse,p21_users,,,,,
Warehouse Manager,app_fuze,app_office365,benefits_bradyuhc,dpt_warehouse,p21_users,,,,
Warehouse Supervisor,app_fuze,app_office365,benefits_bradyuhc,dpt_warehouse,p21_users,,,,
